Id,start_time,end_time,stage,score
2,2022-10-27 01:05,2022-10-27 01:43,Deep,69
2,2022-10-27 01:43,2022-10-27 01:47,Light,69
2,2022-10-27 01:47,2022-10-27 01:55,Awake,69
2,2022-10-27 01:55,2022-10-27 01:57,Light,69
2,2022-10-27 01:57,2022-10-27 02:16,REM,69
2,2022-10-27 02:16,2022-10-27 02:17,Awake,69
2,2022-10-27 02:17,2022-10-27 02:33,Light,69
2,2022-10-27 02:33,2022-10-27 02:34,Awake,69
2,2022-10-27 02:34,2022-10-27 02:46,Light,69
2,2022-10-27 02:46,2022-10-27 02:47,Awake,69
2,2022-10-27 02:47,2022-10-27 03:06,Light,69
2,2022-10-27 03:06,2022-10-27 03:43,REM,69
2,2022-10-27 03:43,2022-10-27 03:46,Awake,69
2,2022-10-27 03:46,2022-10-27 04:31,Light,69
2,2022-10-27 04:31,2022-10-27 04:33,Deep,69
2,2022-10-27 04:33,2022-10-27 04:34,Light,69
2,2022-10-27 04:34,2022-10-27 04:36,Awake,69
2,2022-10-27 04:36,2022-10-27 04:57,Light,69
2,2022-10-27 04:57,2022-10-27 05:02,Awake,69
2,2022-10-27 05:16,2022-10-27 05:43,Light,69
2,2022-10-27 05:43,2022-10-27 05:46,Deep,69
2,2022-10-27 05:46,2022-10-27 05:48,Awake,69
2,2022-10-27 05:48,2022-10-27 05:58,Light,69
2,2022-10-27 05:58,2022-10-27 06:12,Deep,69
2,2022-10-27 06:12,2022-10-27 06:19,Light,69
2,2022-10-27 06:19,2022-10-27 06:41,Deep,69
2,2022-10-27 06:41,2022-10-27 06:42,Awake,69
2,2022-10-27 06:42,2022-10-27 06:43,Light,69
2,2022-10-27 06:43,2022-10-27 06:44,Awake,69
2,2022-10-27 06:44,2022-10-27 06:51,Light,69
2,2022-10-27 06:51,2022-10-27 06:53,REM,69
2,2022-10-27 06:53,2022-10-27 06:54,Light,69
2,2022-10-27 06:54,2022-10-27 06:56,REM,69
2,2022-10-27 06:56,2022-10-27 06:57,Awake,69
2,2022-10-27 06:57,2022-10-27 07:00,Light,69
2,2022-10-27 07:00,2022-10-27 07:01,Awake,69
2,2022-10-27 07:01,2022-10-27 07:11,Light,69
2,2022-10-27 07:11,2022-10-27 07:29,REM,69
2,2022-10-27 07:29,2022-10-27 07:32,Light,69
2,2022-10-27 07:32,2022-10-27 07:34,REM,69
2,2022-10-27 07:34,2022-10-27 07:35,Awake,69
2,2022-10-27 07:35,2022-10-27 08:09,Light,69
2,2022-10-27 08:09,2022-10-27 08:10,Deep,69
2,2022-10-27 08:10,2022-10-27 08:17,Awake,69
2,2022-10-27 08:17,2022-10-27 08:20,Light,69
2,2022-10-27 08:20,2022-10-27 08:33,REM,69
2,2022-10-27 08:33,2022-10-27 08:34,Awake,69
2,2022-10-27 08:34,2022-10-27 08:39,REM,69
2,2022-10-27 08:39,2022-10-27 08:42,Awake,69
2,2022-10-27 08:42,2022-10-27 08:46,Light,69
2,2022-10-27 08:46,2022-10-27 08:56,Awake,69
3,2022-10-28 00:19,2022-10-28 00:34,Light,77
3,2022-10-28 00:34,2022-10-28 00:37,Awake,77
3,2022-10-28 00:37,2022-10-28 00:52,Light,77
3,2022-10-28 00:52,2022-10-28 00:53,Awake,77
3,2022-10-28 00:53,2022-10-28 01:13,Light,77
3,2022-10-28 01:13,2022-10-28 01:17,Deep,77
3,2022-10-28 01:17,2022-10-28 01:20,Light,77
3,2022-10-28 01:20,2022-10-28 01:21,Awake,77
3,2022-10-28 01:21,2022-10-28 01:36,Light,77
3,2022-10-28 01:36,2022-10-28 02:09,Deep,77
3,2022-10-28 02:09,2022-10-28 02:10,Awake,77
3,2022-10-28 02:10,2022-10-28 02:43,Light,77
3,2022-10-28 02:43,2022-10-28 02:44,Awake,77
3,2022-10-28 02:44,2022-10-28 02:46,Light,77
3,2022-10-28 02:46,2022-10-28 02:55,Awake,77
3,2022-10-28 02:55,2022-10-28 03:03,Light,77
3,2022-10-28 03:03,2022-10-28 04:02,REM,77
3,2022-10-28 04:02,2022-10-28 04:40,Light,77
3,2022-10-28 04:40,2022-10-28 05:01,Deep,77
3,2022-10-28 05:01,2022-10-28 05:16,Light,77
3,2022-10-28 05:16,2022-10-28 06:06,REM,77
3,2022-10-28 06:06,2022-10-28 06:07,Awake,77
3,2022-10-28 06:07,2022-10-28 06:08,REM,77
3,2022-10-28 06:08,2022-10-28 06:09,Awake,77
3,2022-10-28 06:09,2022-10-28 06:11,Light,77
3,2022-10-28 06:11,2022-10-28 06:12,Awake,77
3,2022-10-28 06:12,2022-10-28 06:45,Light,77
3,2022-10-28 06:45,2022-10-28 06:50,Awake,77
4,2022-10-30 02:05,2022-10-30 02:21,Light,67
4,2022-10-30 02:21,2022-10-30 02:35,Deep,67
4,2022-10-30 02:35,2022-10-30 02:36,Awake,67
4,2022-10-30 02:36,2022-10-30 02:49,Light,67
4,2022-10-30 02:49,2022-10-30 02:50,Awake,67
4,2022-10-30 02:50,2022-10-30 02:58,Light,67
4,2022-10-30 02:58,2022-10-30 03:18,REM,67
4,2022-10-30 03:18,2022-10-30 03:19,Awake,67
4,2022-10-30 03:19,2022-10-30 03:21,REM,67
4,2022-10-30 03:21,2022-10-30 03:23,Awake,67
4,2022-10-30 03:23,2022-10-30 03:42,Light,67
4,2022-10-30 03:42,2022-10-30 03:57,Deep,67
4,2022-10-30 03:57,2022-10-30 03:58,Awake,67
4,2022-10-30 03:58,2022-10-30 04:12,Light,67
4,2022-10-30 04:12,2022-10-30 04:16,Deep,67
4,2022-10-30 04:16,2022-10-30 04:18,Awake,67
4,2022-10-30 04:18,2022-10-30 04:39,REM,67
4,2022-10-30 04:39,2022-10-30 04:40,Awake,67
4,2022-10-30 04:40,2022-10-30 04:44,REM,67
4,2022-10-30 04:44,2022-10-30 04:45,Light,67
4,2022-10-30 04:45,2022-10-30 04:51,Awake,67
4,2022-10-30 04:51,2022-10-30 04:57,Light,67
4,2022-10-30 04:57,2022-10-30 04:58,Awake,67
4,2022-10-30 04:58,2022-10-30 05:29,Light,67
4,2022-10-30 05:29,2022-10-30 05:45,Deep,67
4,2022-10-30 05:45,2022-10-30 05:46,Awake,67
4,2022-10-30 05:46,2022-10-30 05:52,Light,67
4,2022-10-30 05:52,2022-10-30 06:03,REM,67
4,2022-10-30 06:03,2022-10-30 06:04,Awake,67
4,2022-10-30 06:04,2022-10-30 06:34,Light,67
4,2022-10-30 06:34,2022-10-30 06:35,Awake,67
4,2022-10-30 06:35,2022-10-30 07:15,Light,67
4,2022-10-30 07:15,2022-10-30 07:16,REM,67
4,2022-10-30 07:16,2022-10-30 07:18,Awake,67
4,2022-10-30 07:18,2022-10-30 07:21,Light,67
4,2022-10-30 07:21,2022-10-30 07:25,REM,67
4,2022-10-30 07:25,2022-10-30 07:26,Awake,67
4,2022-10-30 07:26,2022-10-30 07:43,REM,67
4,2022-10-30 07:43,2022-10-30 08:12,Light,67
4,2022-10-30 08:12,2022-10-30 08:14,Awake,67
4,2022-10-30 08:14,2022-10-30 09:03,Light,67
4,2022-10-30 09:03,2022-10-30 09:06,Awake,67
4,2022-10-30 09:06,2022-10-30 09:07,Light,67
4,2022-10-30 09:07,2022-10-30 09:09,REM,67
4,2022-10-30 09:09,2022-10-30 09:10,Awake,67
4,2022-10-30 09:10,2022-10-30 09:26,REM,67
4,2022-10-30 09:26,2022-10-30 09:50,Awake,67
5,2022-10-31 01:05,2022-10-31 01:10,Light,71
5,2022-10-31 01:10,2022-10-31 01:17,Awake,71
5,2022-10-31 01:17,2022-10-31 01:28,Light,71
5,2022-10-31 01:28,2022-10-31 01:29,Awake,71
5,2022-10-31 01:29,2022-10-31 01:43,Light,71
5,2022-10-31 01:43,2022-10-31 02:19,Deep,71
5,2022-10-31 02:19,2022-10-31 02:27,REM,71
5,2022-10-31 02:27,2022-10-31 02:30,Awake,71
5,2022-10-31 02:30,2022-10-31 02:38,Light,71
5,2022-10-31 02:38,2022-10-31 02:39,Awake,71
5,2022-10-31 02:39,2022-10-31 02:55,Light,71
5,2022-10-31 02:55,2022-10-31 02:57,Deep,71
5,2022-10-31 02:57,2022-10-31 03:01,Light,71
5,2022-10-31 03:01,2022-10-31 03:17,Deep,71
5,2022-10-31 03:17,2022-10-31 03:22,Light,71
5,2022-10-31 03:22,2022-10-31 03:32,Deep,71
5,2022-10-31 03:32,2022-10-31 03:38,Light,71
5,2022-10-31 03:38,2022-10-31 03:51,REM,71
5,2022-10-31 03:51,2022-10-31 03:52,Awake,71
5,2022-10-31 03:52,2022-10-31 04:00,Light,71
5,2022-10-31 04:00,2022-10-31 04:01,Awake,71
5,2022-10-31 04:01,2022-10-31 04:14,Light,71
5,2022-10-31 04:14,2022-10-31 04:16,Awake,71
5,2022-10-31 04:16,2022-10-31 04:35,Light,71
5,2022-10-31 04:35,2022-10-31 05:23,REM,71
5,2022-10-31 05:23,2022-10-31 05:24,Awake,71
5,2022-10-31 05:24,2022-10-31 05:37,Light,71
5,2022-10-31 05:37,2022-10-31 05:38,Awake,71
5,2022-10-31 05:38,2022-10-31 05:57,Light,71
5,2022-10-31 05:57,2022-10-31 05:58,Awake,71
5,2022-10-31 05:58,2022-10-31 06:14,Light,71
5,2022-10-31 06:14,2022-10-31 06:15,Awake,71
5,2022-10-31 06:15,2022-10-31 06:41,Light,71
5,2022-10-31 06:41,2022-10-31 06:43,Awake,71
5,2022-10-31 06:43,2022-10-31 07:09,Light,71
5,2022-10-31 07:09,2022-10-31 07:18,REM,71
5,2022-10-31 07:18,2022-10-31 07:19,Light,71
5,2022-10-31 07:19,2022-10-31 07:23,REM,71
5,2022-10-31 07:23,2022-10-31 07:48,Light,71
5,2022-10-31 07:48,2022-10-31 07:49,REM,71
5,2022-10-31 07:49,2022-10-31 07:51,Light,71
5,2022-10-31 07:51,2022-10-31 07:53,Awake,71
5,2022-10-31 07:53,2022-10-31 08:00,Light,71
